key,type,id,value
place,regular,415521411,town
population,regular,415521411,11397
source,regular,415521411,IBGE
GEOCODIGO,IBGE,415521412,260360305
name,regular,415521412,Camutanga
place,regular,415521412,village
population,regular,415521412,8186
source,regular,415521412,IBGE
GEOCODIGO,IBGE,415521414,250790305
name,regular,415521414,Juripiranga
place,regular,415521414,town
population,regular,415521414,10524
source,regular,415521414,IBGE
GEOCODIGO,IBGE,415521423,251597105
name,regular,415521423,Sobrado
place,regular,415521423,village
population,regular,415521423,7543
source,regular,415521423,IBGE
GEOCODIGO,IBGE,415521424,251530205
name,regular,415521424,Sapé
place,regular,415521424,town
population,regular,415521424,47690
source,regular,415521424,IBGE
wikidata,regular,415521424,Q2008707
GEOCODIGO,IBGE,415521425,251500505
continent,is_in,415521425,South America
country,is_in,415521425,Brazil
country_code,is_in,415521425,BR
state,is_in,415521425,Paraíba
state_code,is_in,415521425,Nordeste
name,regular,415521425,São Miguel de Taipu
place,regular,415521425,village
population,regular,415521425,6749
source,regular,415521425,IBGE
GEOCODIGO,IBGE,415521426,251276205
name,regular,415521426,Riachão do Poço
place,regular,415521426,village
population,regular,415521426,4353
source,regular,415521426,IBGE
GEOCODIGO,IBGE,415521427,250380305
continent,is_in,415521427,South America
country,is_in,415521427,Brazil
country_code,is_in,415521427,BR
state,is_in,415521427,Paraíba
state_code,is_in,415521427,Nordeste
name,regular,415521427,Caldas Brandão
place,regular,415521427,village
population,regular,415521427,5513
source,regular,415521427,IBGE
GEOCODIGO,IBGE,415521428,251150905
continent,is_in,415521428,South America
country,is_in,415521428,Brazil
country_code,is_in,415521428,BR
state,is_in,415521428,Paraíba
state_code,is_in,415521428,Nordeste
name,regular,415521428,Pilar
place,regular,415521428,town
population,regular,415521428,11610
source,regular,415521428,IBGE
GEOCODIGO,IBGE,415521429,250690505
name,regular,415521429,Itabaiana
place,regular,415521429,town
population,regular,415521429,25460
source,regular,415521429,IBGE
wikidata,regular,415521429,Q2103719
GEOCODIGO,IBGE,415521430,251445305
name,regular,415521430,São José dos Ramos
place,regular,415521430,village
population,regular,415521430,5631
source,regular,415521430,IBGE
GEOCODIGO,IBGE,415521453,250490005
name,regular,415521453,Cruz do Espírito Santo
place,regular,415521453,town
population,regular,415521453,15702
source,regular,415521453,IBGE
wikidata,regular,415521453,Q512810
GEOCODIGO,IBGE,415521471,250460305
name,regular,415521471,Conde
place,regular,415521471,town
population,regular,415521471,20452
source,regular,415521471,IBGE
wikidata,regular,415521471,Q1999780
GEOCODIGO,IBGE,415521472,251370305
flag,regular,415521472,http://upload.wikimedia.org/wikipedia/commons/8/8d/Bandeira_Santa_Rita_PB.jpg
name,regular,415521472,Santa Rita
ka,name,415521472,სანტა-რიტა
kk,name,415521472,Санта-Рита
pt,name,415521472,Santa Rita
ru,name,415521472,Санта-Рита
place,regular,415521472,city
population,regular,415521472,121994
source,regular,415521472,IBGE
website,regular,415521472,http://www.santarita.pb.gov.br/
wikidata,regular,415521472,Q1937304
wikipedia,regular,415521472,pt:Santa Rita (Paraíba)
GEOCODIGO,IBGE,415521473,250180705
name,regular,415521473,Bayeux
place,regular,415521473,town
population,regular,415521473,95470
source,regular,415521473,IBGE
wikidata,regular,415521473,Q2065978
GEOCODIGO,IBGE,416642693,251200210
name,regular,416642693,Nazaré
place,regular,416642693,village
source,regular,416642693,IBGE
GEOCODIGO,IBGE,416642694,250400915
name,regular,416642694,Catolé
place,regular,416642694,village
source,regular,416642694,IBGE
GEOCODIGO,IBGE,416642772,250400925
name,regular,416642772,São José da Mata
place,regular,416642772,village
source,regular,416642772,IBGE
GEOCODIGO,IBGE,416642792,260765315
name,regular,416642792,Ibiranga
place,regular,416642792,village
source,regular,416642792,IBGE
GEOCODIGO,IBGE,416642798,250690515
name,regular,416642798,Guarita
place,regular,416642798,village
source,regular,416642798,IBGE
GEOCODIGO,IBGE,416642799,250690510
name,regular,416642799,Campo Grande
place,regular,416642799,village
source,regular,416642799,IBGE
GEOCODIGO,IBGE,416642804,250460315
amenity,regular,416642804,restaurant
name,regular,416642804,Jacumã
source,regular,416642804,IBGE
name,regular,416654118,Pedra d'Água
place,regular,416654118,hamlet
source,regular,416654118,IBGE
name,regular,416654203,Brito
place,regular,416654203,hamlet
source,regular,416654203,IBGE
name,regular,416654227,Cavaco
place,regular,416654227,hamlet
source,regular,416654227,IBGE
name,regular,416654232,Cupissura
place,regular,416654232,village
source,regular,416654232,IBGE
name,regular,416654237,João Gomes
place,regular,416654237,hamlet
source,regular,416654237,IBGE
name,regular,416654249,Santa Helena
place,regular,416654249,hamlet
source,regular,416654249,IBGE
name,regular,416654250,Cobé
place,regular,416654250,hamlet
source,regular,416654250,IBGE
name,regular,416654255,Mata Redonda
place,regular,416654255,hamlet
source,regular,416654255,IBGE
name,regular,416654256,S. Gonçalo
place,regular,416654256,hamlet
source,regular,416654256,IBGE
name,regular,416654258,Santa Rita
place,regular,416654258,hamlet
source,regular,416654258,IBGE
alt_name,regular,416654262,Guruji
name,regular,416654262,Gurugi
place,regular,416654262,hamlet
source,regular,416654262,IBGE
name,regular,416760097,Pocinho
place,regular,416760097,hamlet
source,regular,416760097,IBGE
name,regular,416760109,S. Paulo
place,regular,416760109,hamlet
source,regular,416760109,IBGE
name,regular,416760110,Mônica
place,regular,416760110,hamlet
source,regular,416760110,IBGE
crossing,regular,451374434,traffic_signals
highway,regular,451374434,traffic_signals
crossing,regular,451374435,traffic_signals
highway,regular,451374435,traffic_signals
highway,regular,452487513,traffic_signals
crossing,regular,458409442,traffic_signals
highway,regular,458409442,traffic_signals
